Data de Publicação,Contagem de postagens,Contagem de Perfis,Taxa de engajamento,Engajamento,Impressões,Visualizações,Rede,Tipo,Assunto
27 de mar. de 2025,72,45,"3,61%",65.906,1.825.906,3.200.952,Twitter,Orgânico,Times
25 de mai. de 2025,71,44,"2,32%",38.333,1.651.283,2.043.769,Twitter,Orgânico,Times
02 de abr. de 2025,71,43,"3,61%",62.286,1.726.523,2.547.972,Twitter,Orgânico,Times
03 de jun. de 2025,70,39,"0,28%",5.296,1.871.399,340.359,Twitter,Orgânico,Times
09 de jun. de 2025,69,41,"1,82%",32.923,1.812.827,1.241.143,Twitter,Orgânico,Times
21 de mar. de 2025,69,35,"1,11%",14.451,1.298.156,816.452,Twitter,Orgânico,Times
06 de jun. de 2025,67,37,"0,37%",11.444,3.099.712,748.191,Twitter,Orgânico,Times
16 de mai. de 2025,65,38,"0,55%",18.207,3.295.093,944.800,Twitter,Orgânico,Times
10 de mai. de 2025,65,43,"1,68%",29.638,1.760.160,1.212.984,Twitter,Orgânico,Times
19 de abr. de 2025,65,34,"2,51%",30.989,1.236.801,1.190.275,Twitter,Orgânico,Times
11 de abr. de 2025,65,40,"1,10%",30.413,2.756.428,3.728.543,Twitter,Orgânico,Times
15 de mai. de 2025,64,37,"0,80%",30.659,3.819.955,2.131.546,Twitter,Orgânico,Times
29 de abr. de 2025,64,41,"1,98%",26.626,1.342.579,1.137.731,Twitter,Orgânico,Times
14 de jun. de 2025,62,37,"1,06%",37.199,3.509.335,1.317.612,Twitter,Orgânico,Times
10 de jun. de 2025,62,34,"0,61%",14.390,2.343.720,532.559,Twitter,Orgânico,Times
13 de abr. de 2025,62,42,"1,06%",32.167,3.028.593,1.313.119,Twitter,Orgânico,Times
21 de mai. de 2025,61,45,"0,19%",11.433,5.955.314,1.218.269,Twitter,Orgânico,Times
14 de mai. de 2025,61,38,"0,34%",10.226,2.987.065,332.968,Twitter,Orgânico,Times
04 de mai. de 2025,61,38,"2,72%",42.953,1.579.462,2.000.898,Twitter,Orgânico,Times
19 de fev. de 2025,61,46,"0,53%",28.624,5.370.695,1.850.179,Twitter,Orgânico,Times
22 de mar. de 2025,60,37,"0,54%",18.804,3.485.734,1.896.035,Twitter,Orgânico,Times
13 de jan. de 2025,58,38,"0,71%",17.771,2.518.616,422.320,Twitter,Orgânico,Times
10 de jan. de 2025,58,37,"0,58%",16.661,2.870.376,192,Twitter,Orgânico,Times
16 de jun. de 2025,57,36,"0,73%",18.070,2.485.133,936.671,Twitter,Orgânico,Times
22 de mai. de 2025,57,46,"1,74%",71.742,4.121.475,2.975.345,Twitter,Orgânico,Times
08 de fev. de 2025,57,25,"1,61%",24.866,1.540.657,1.434.549,Twitter,Orgânico,Times
02 de fev. de 2025,57,33,"0,81%",24.024,2.960.300,1.827.198,Twitter,Orgânico,Times
18 de abr. de 2025,56,35,"4,14%",44.714,1.079.424,2.084.340,Twitter,Orgânico,Times
23 de fev. de 2025,55,37,"1,31%",21.930,1.678.914,992.244,Twitter,Orgânico,Times
13 de mai. de 2025,54,36,"0,27%",14.024,5.113.164,709.086,Twitter,Orgânico,Times
22 de jan. de 2025,54,35,"1,14%",15.035,1.313.972,329.155,Twitter,Orgânico,Times
21 de jan. de 2025,54,34,"1,53%",29.236,1.912.384,337.382,Twitter,Orgânico,Times
05 de jun. de 2025,52,29,"0,56%",10.938,1.937.945,551.031,Twitter,Orgânico,Times
01 de jun. de 2025,52,35,"1,02%",29.152,2.853.737,1.161.811,Twitter,Orgânico,Times
20 de jun. de 2025,51,40,"3,11%",22.903,736.717,642.092,Twitter,Orgânico,Times
05 de abr. de 2025,51,35,"1,57%",22.950,1.466.152,1.198.758,Twitter,Orgânico,Times
30 de mai. de 2025,50,29,"0,57%",12.765,2.243.129,2.542.986,Twitter,Orgânico,Times
15 de jan. de 2025,50,33,"1,75%",37.389,2.140.873,138.252,Twitter,Orgânico,Times
26 de mai. de 2025,49,34,"0,78%",10.484,1.336.306,684.708,Twitter,Orgânico,Times
15 de abr. de 2025,49,36,"1,79%",27.198,1.519.022,1.109.452,Twitter,Orgânico,Times
26 de fev. de 2025,49,44,"0,95%",24.430,2.578.350,1.775.235,Twitter,Orgânico,Times
29 de jan. de 2025,49,35,"1,35%",19.637,1.451.175,2.766.225,Twitter,Orgânico,Times
23 de abr. de 2025,48,36,"1,28%",16.160,1.265.138,1.215.409,Twitter,Orgânico,Times
03 de abr. de 2025,48,36,"1,42%",13.754,972.001,595.237,Twitter,Orgânico,Times
18 de mar. de 2025,47,33,"0,39%",5.226,1.346.085,227.333,Twitter,Orgânico,Times
29 de mai. de 2025,46,27,"0,66%",8.126,1.230.961,458.771,Twitter,Orgânico,Times
24 de abr. de 2025,46,31,"2,24%",20.160,901.561,1.287.741,Twitter,Orgânico,Times
10 de abr. de 2025,46,34,"0,25%",4.176,1.664.452,233.295,Twitter,Orgânico,Times
06 de mai. de 2025,45,34,"0,47%",7.216,1.528.992,361.008,Twitter,Orgânico,Times
08 de jan. de 2025,45,31,"0,66%",17.861,2.697.079,367,Twitter,Orgânico,Times
23 de jan. de 2025,44,28,"2,06%",20.967,1.019.410,700.076,Twitter,Orgânico,Times
25 de abr. de 2025,43,26,"1,78%",18.964,1.062.683,1.467.926,Twitter,Orgânico,Times
09 de abr. de 2025,43,30,"0,54%",10.996,2.042.276,284.375,Twitter,Orgânico,Times
24 de jan. de 2025,43,32,"1,25%",32.530,2.607.988,3.084.349,Twitter,Orgânico,Times
17 de abr. de 2025,42,35,"2,30%",19.817,863.059,457.329,Twitter,Orgânico,Times
19 de jun. de 2025,41,34,"1,54%",13.485,873.348,695.994,Twitter,Orgânico,Times
20 de mai. de 2025,41,34,"0,07%",2.214,3.330.378,281.858,Twitter,Orgânico,Times
16 de fev. de 2025,41,22,"1,17%",18.101,1.545.285,644.632,Twitter,Orgânico,Times
27 de jan. de 2025,41,25,"0,78%",12.307,1.578.017,1.022.669,Twitter,Orgânico,Times
03 de fev. de 2025,40,27,"1,38%",9.946,723.175,1.330.870,Twitter,Orgânico,Times
04 de jun. de 2025,39,31,"1,37%",17.317,1.265.198,1.228.186,Twitter,Orgânico,Times
23 de mai. de 2025,39,29,"1,49%",27.274,1.827.382,719.846,Twitter,Orgânico,Times
12 de fev. de 2025,39,27,"1,01%",12.473,1.236.211,353.584,Twitter,Orgânico,Times
6 dias ago,38,19,"3,34%",25.816,773.640,804.837,Twitter,Orgânico,Times
26 de mar. de 2025,37,22,"1,73%",10.842,627.151,669.866,Twitter,Orgânico,Times
24 de mar. de 2025,37,23,"1,33%",18.638,1.399.214,1.154.745,Twitter,Orgânico,Times
17 de jan. de 2025,37,23,"1,96%",12.132,619.844,-,Twitter,Orgânico,Times
07 de mai. de 2025,36,29,"1,95%",23.176,1.186.684,1.534.225,Twitter,Orgânico,Times
27 de fev. de 2025,36,32,"0,66%",7.733,1.172.390,384.195,Twitter,Orgânico,Times
21 de fev. de 2025,36,28,"0,43%",7.930,1.830.980,319.348,Twitter,Orgânico,Times
10 de fev. de 2025,36,19,"3,44%",61.756,1.796.105,743.271,Twitter,Orgânico,Times
19 de jan. de 2025,36,22,"1,32%",10.480,794.045,2.077,Twitter,Orgânico,Times
04 de jan. de 2025,36,26,"11,95%",132.372,1.107.766,40.705,Twitter,Orgânico,Times
28 de mai. de 2025,35,22,"0,69%",10.988,1.584.725,561.365,Twitter,Orgânico,Times
20 de fev. de 2025,35,30,"0,47%",17.874,3.780.627,1.593.687,Twitter,Orgânico,Times
04 de fev. de 2025,35,24,"1,10%",13.664,1.238.087,865.974,Twitter,Orgânico,Times
18 de jun. de 2025,34,30,"1,04%",20.175,1.937.927,675.504,Twitter,Orgânico,Times
11 de fev. de 2025,34,26,"0,28%",4.153,1.501.382,501.138,Twitter,Orgânico,Times
02 de jan. de 2025,34,27,"0,59%",6.043,1.031.559,686,Twitter,Orgânico,Times
01 de mai. de 2025,33,20,"0,87%",11.600,1.337.604,566.778,Twitter,Orgânico,Times
28 de fev. de 2025,33,22,"0,72%",23.506,3.284.290,895.074,Twitter,Orgânico,Times
15 de fev. de 2025,33,27,"2,43%",19.096,786.972,1.003.812,Twitter,Orgânico,Times
28 de jan. de 2025,32,29,"0,64%",8.146,1.266.440,280.097,Twitter,Orgânico,Times
07 de jan. de 2025,32,21,"0,87%",13.655,1.575.915,30.652,Twitter,Orgânico,Times
25 de mar. de 2025,31,25,"2,47%",16.470,666.313,847.064,Twitter,Orgânico,Times
19 de mar. de 2025,31,25,"0,34%",4.450,1.294.433,161.057,Twitter,Orgânico,Times
14 de mar. de 2025,31,24,"0,84%",13.021,1.554.293,864.934,Twitter,Orgânico,Times
14 de fev. de 2025,31,23,"2,12%",20.015,945.125,524.317,Twitter,Orgânico,Times
13 de fev. de 2025,31,24,"0,84%",14.167,1.690.058,505.452,Twitter,Orgânico,Times
26 de jan. de 2025,31,20,"1,68%",11.979,711.033,589.566,Twitter,Orgânico,Times
22 de jun. de 2025,30,24,"1,09%",8.482,780.395,597.372,Twitter,Orgânico,Times
20 de mar. de 2025,30,24,"1,85%",11.924,646.165,234.671,Twitter,Orgânico,Times
11 de mar. de 2025,30,26,"1,56%",27.973,1.795.840,1.591.748,Twitter,Orgânico,Times
08 de mai. de 2025,29,18,"1,30%",7.119,548.530,356.061,Twitter,Orgânico,Times
15 de mar. de 2025,29,17,"1,12%",7.347,653.597,668.139,Twitter,Orgânico,Times
03 de mar. de 2025,29,24,"0,74%",8.326,1.128.389,516.117,Twitter,Orgânico,Times
26 de jun. de 2025,28,15,"4,18%",19.762,472.368,485.190,Twitter,Orgânico,Times
21 de jun. de 2025,28,23,"1,20%",11.303,945.789,306.064,Twitter,Orgânico,Times
07 de mar. de 2025,28,19,"0,65%",3.076,475.275,136.861,Twitter,Orgânico,Times
30 de jan. de 2025,28,21,"2,66%",16.856,633.093,458.678,Twitter,Orgânico,Times
06 de jan. de 2025,28,24,"1,40%",11.243,804.463,-,Twitter,Orgânico,Times
02 de mai. de 2025,27,21,"0,72%",9.116,1.260.027,468.985,Twitter,Orgânico,Times
09 de mar. de 2025,26,20,"5,68%",62.063,1.092.910,3.539.549,Twitter,Orgânico,Times
17 de fev. de 2025,26,22,"1,01%",15.999,1.586.890,365.438,Twitter,Orgânico,Times
14 de jan. de 2025,26,23,"2,36%",13.271,561.445,1.561,Twitter,Orgânico,Times
27 de mai. de 2025,25,24,"0,33%",8.758,2.652.674,263.874,Twitter,Orgânico,Times
11 de jan. de 2025,25,20,"0,19%",2.476,1.318.792,-,Twitter,Orgânico,Times
03 de jan. de 2025,25,22,"0,21%",3.248,1.575.948,-,Twitter,Orgânico,Times
05 de mar. de 2025,24,19,"0,46%",6.640,1.433.342,133.783,Twitter,Orgânico,Times
06 de fev. de 2025,24,20,"0,25%",1.800,731.358,149.072,Twitter,Orgânico,Times
24 de jun. de 2025,23,16,"1,29%",10.205,789.295,708.315,Twitter,Orgânico,Times
18 de fev. de 2025,23,17,"2,18%",17.549,803.194,2.145.867,Twitter,Orgânico,Times
16 de mar. de 2025,22,20,"2,50%",19.461,779.043,458.625,Twitter,Orgânico,Times
12 de mar. de 2025,22,18,"0,30%",4.451,1.503.400,170.873,Twitter,Orgânico,Times
23 de jun. de 2025,21,14,"1,75%",9.532,543.840,293.821,Twitter,Orgânico,Times
23 de mar. de 2025,21,18,"3,77%",23.135,613.116,202.695,Twitter,Orgânico,Times
06 de mar. de 2025,21,21,"2,31%",19.401,841.674,488.527,Twitter,Orgânico,Times
01 de mar. de 2025,21,12,"0,70%",2.096,301.256,155.183,Twitter,Orgânico,Times
13 de mar. de 2025,19,16,"0,16%",2.376,1.506.610,170.275,Twitter,Orgânico,Times
10 de mar. de 2025,19,18,"1,28%",5.667,444.427,548.869,Twitter,Orgânico,Times
04 de mar. de 2025,19,17,"0,16%",2.492,1.565.677,194.272,Twitter,Orgânico,Times
07 de fev. de 2025,19,16,"0,90%",5.356,595.542,1.273.421,Twitter,Orgânico,Times
05 de jan. de 2025,19,12,"3,90%",17.257,442.663,-,Twitter,Orgânico,Times
01 de jan. de 2025,19,17,"0,54%",3.257,598.643,1,Twitter,Orgânico,Times
17 de jun. de 2025,18,15,"0,86%",4.408,510.341,362.328,Twitter,Orgânico,Times
20 de jan. de 2025,18,15,"0,50%",11.633,2.308.415,106.214,Twitter,Orgânico,Times
05 de fev. de 2025,16,15,"0,08%",906,1.097.525,58.764,Twitter,Orgânico,Times
25 de jun. de 2025,15,11,"0,53%",3.119,590.669,240.446,Twitter,Orgânico,Times
08 de mar. de 2025,14,10,"1,19%",9.025,755.299,545.810,Twitter,Orgânico,Times
5 dias ago,13,6,"0,27%",1.162,434.985,44.127,Twitter,Orgânico,Times
02 de mar. de 2025,13,11,"0,10%",1.100,1.129.922,107.941,Twitter,Orgânico,Times
3 dias ago,3,3,"1,50%",194,12.909,8.903,Twitter,Orgânico,Times
4 dias ago,3,3,"1,68%",1.694,101.078,31.995,Twitter,Orgânico,Times
18 de mai. de 2025,37,27,"0,06%",26.807,4.563.359,-,Facebook,Orgânico,Times
19 de mai. de 2025,36,34,"0,03%",14.837,4.827.811,-,Facebook,Orgânico,Times
24 de fev. de 2025,33,24,"0,01%",12.405,9.834.739,-,Facebook,Orgânico,Times
6 dias ago,31,22,"0,02%",2.956,1.747.776,-,Facebook,Orgânico,Times
20 de mai. de 2025,29,26,"0,02%",4.640,2.442.790,-,Facebook,Orgânico,Times
21 de mai. de 2025,27,24,"0,02%",8.809,5.589.697,-,Facebook,Orgânico,Times
24 de mai. de 2025,26,17,"0,01%",4.992,3.709.409,-,Facebook,Orgânico,Times
18 de mar. de 2025,26,23,"<0,01%",2.034,2.473.004,-,Facebook,Orgânico,Times
06 de jun. de 2025,25,20,"0,01%",2.256,2.138.599,-,Facebook,Orgânico,Times
01 de abr. de 2025,25,22,"<0,01%",1.076,2.593.631,-,Facebook,Orgânico,Times
16 de jun. de 2025,24,19,"0,07%",7.836,1.099.585,-,Facebook,Orgânico,Times
28 de abr. de 2025,24,19,"0,01%",2.605,1.908.037,-,Facebook,Orgânico,Times
20 de fev. de 2025,24,23,"0,02%",7.172,3.753.773,-,Facebook,Orgânico,Times
09 de jun. de 2025,23,21,"0,02%",7.726,3.487.476,-,Facebook,Orgânico,Times
03 de jun. de 2025,23,19,"0,06%",14.514,2.440.507,-,Facebook,Orgânico,Times
07 de abr. de 2025,23,18,"0,01%",6.266,4.758.036,-,Facebook,Orgânico,Times
06 de mar. de 2025,23,16,"<0,01%",856,3.511.710,-,Facebook,Orgânico,Times
12 de jan. de 2025,23,18,"0,03%",16.384,5.429.397,-,Facebook,Orgânico,Times
27 de mai. de 2025,22,20,"0,01%",3.174,3.095.356,-,Facebook,Orgânico,Times
16 de abr. de 2025,22,19,"0,07%",6.140,894.170,-,Facebook,Orgânico,Times
28 de fev. de 2025,22,19,"0,01%",3.673,2.507.711,-,Facebook,Orgânico,Times
22 de fev. de 2025,22,22,"0,04%",9.616,2.710.142,-,Facebook,Orgânico,Times
19 de fev. de 2025,22,19,"0,02%",7.844,4.179.323,-,Facebook,Orgânico,Times
24 de jun. de 2025,21,20,"0,05%",6.677,1.229.326,-,Facebook,Orgânico,Times
17 de jun. de 2025,21,19,"0,13%",6.577,498.502,-,Facebook,Orgânico,Times
13 de jun. de 2025,21,17,"0,06%",14.842,2.563.901,-,Facebook,Orgânico,Times
25 de mai. de 2025,21,16,"0,02%",720,292.313,-,Facebook,Orgânico,Times
30 de abr. de 2025,21,19,"0,02%",2.455,1.035.755,-,Facebook,Orgânico,Times
15 de abr. de 2025,21,20,"0,02%",4.787,2.133.492,-,Facebook,Orgânico,Times
14 de abr. de 2025,21,19,"<0,01%",3.172,3.464.710,-,Facebook,Orgânico,Times
04 de fev. de 2025,21,19,"0,01%",1.319,986.916,-,Facebook,Orgânico,Times
24 de jan. de 2025,21,18,"0,02%",1.135,753.101,-,Facebook,Orgânico,Times
30 de mai. de 2025,20,16,"<0,01%",4.363,7.168.121,-,Facebook,Orgânico,Times
29 de mai. de 2025,20,18,"0,02%",1.623,842.456,-,Facebook,Orgânico,Times
3 dias ago,19,16,"0,03%",1.942,715.568,-,Facebook,Orgânico,Times
15 de jun. de 2025,19,9,"<0,01%",857,1.326.816,-,Facebook,Orgânico,Times
10 de jun. de 2025,19,18,"0,02%",1.338,787.850,-,Facebook,Orgânico,Times
14 de mai. de 2025,19,13,"0,01%",2.197,1.498.748,-,Facebook,Orgânico,Times
27 de fev. de 2025,19,17,"0,02%",2.443,1.219.152,-,Facebook,Orgânico,Times
25 de fev. de 2025,19,19,"<0,01%",786,2.063.996,-,Facebook,Orgânico,Times
12 de fev. de 2025,19,18,"0,03%",2.407,764.055,-,Facebook,Orgânico,Times
15 de jan. de 2025,19,18,"0,02%",3.137,1.690.678,-,Facebook,Orgânico,Times
11 de jun. de 2025,18,15,"0,01%",2.909,2.177.669,-,Facebook,Orgânico,Times
05 de jun. de 2025,18,17,"0,02%",6.904,3.102.375,-,Facebook,Orgânico,Times
15 de mai. de 2025,18,18,"0,06%",10.395,1.816.888,-,Facebook,Orgânico,Times
13 de mai. de 2025,18,15,"0,02%",1.634,1.058.143,-,Facebook,Orgânico,Times
17 de abr. de 2025,18,16,"0,14%",13.674,949.951,-,Facebook,Orgânico,Times
11 de abr. de 2025,18,16,"0,04%",10.889,2.765.247,-,Facebook,Orgânico,Times
08 de abr. de 2025,18,17,"0,03%",6.306,2.237.656,-,Facebook,Orgânico,Times
27 de mar. de 2025,18,16,"0,02%",3.461,1.756.123,-,Facebook,Orgânico,Times
17 de mar. de 2025,18,14,"0,02%",2.695,1.301.475,-,Facebook,Orgânico,Times
07 de fev. de 2025,18,14,"0,03%",1.550,549.166,-,Facebook,Orgânico,Times
08 de jan. de 2025,18,18,"0,02%",4.289,2.824.650,-,Facebook,Orgânico,Times
02 de jan. de 2025,18,17,"0,26%",40.275,1.528.637,-,Facebook,Orgânico,Times
12 de jun. de 2025,17,14,"<0,01%",766,869.552,-,Facebook,Orgânico,Times
04 de jun. de 2025,17,16,"0,04%",4.906,1.091.500,-,Facebook,Orgânico,Times
13 de mar. de 2025,17,14,"0,03%",2.712,878.903,-,Facebook,Orgânico,Times
18 de fev. de 2025,17,17,"0,03%",4.260,1.497.030,-,Facebook,Orgânico,Times
23 de jan. de 2025,17,16,"0,03%",5.110,1.648.646,-,Facebook,Orgânico,Times
13 de jan. de 2025,17,17,"<0,01%",2.450,2.672.274,-,Facebook,Orgânico,Times
09 de jan. de 2025,17,17,"0,04%",7.576,2.012.359,-,Facebook,Orgânico,Times
26 de jun. de 2025,16,12,"0,01%",1.792,1.777.838,-,Facebook,Orgânico,Times
20 de jun. de 2025,16,12,"0,16%",10.072,630.387,-,Facebook,Orgânico,Times
28 de mai. de 2025,16,13,"<0,01%",2.171,2.237.924,-,Facebook,Orgânico,Times
26 de mai. de 2025,16,15,"0,01%",905,683.077,-,Facebook,Orgânico,Times
23 de mai. de 2025,16,15,"0,08%",10.092,1.254.334,-,Facebook,Orgânico,Times
22 de mai. de 2025,16,14,"0,03%",2.568,964.164,-,Facebook,Orgânico,Times
12 de mai. de 2025,16,15,"0,01%",4.459,3.362.547,-,Facebook,Orgânico,Times
09 de mai. de 2025,16,16,"0,04%",3.192,776.783,-,Facebook,Orgânico,Times
12 de abr. de 2025,16,10,"0,02%",1.387,605.272,-,Facebook,Orgânico,Times
04 de abr. de 2025,16,14,"0,01%",1.856,1.254.627,-,Facebook,Orgânico,Times
26 de mar. de 2025,16,15,"0,15%",7.712,499.834,-,Facebook,Orgânico,Times
21 de mar. de 2025,16,14,"0,02%",4.415,1.814.931,-,Facebook,Orgânico,Times
14 de mar. de 2025,16,14,"0,02%",5.972,2.865.275,-,Facebook,Orgânico,Times
26 de fev. de 2025,16,15,"0,02%",9.354,4.734.583,-,Facebook,Orgânico,Times
21 de fev. de 2025,16,13,"<0,01%",1.441,1.464.527,-,Facebook,Orgânico,Times
06 de fev. de 2025,16,16,"0,03%",1.739,649.465,-,Facebook,Orgânico,Times
10 de jan. de 2025,16,13,"0,01%",5.430,4.304.939,-,Facebook,Orgânico,Times
25 de jun. de 2025,15,14,"<0,01%",945,2.085.012,-,Facebook,Orgânico,Times
05 de mai. de 2025,15,14,"<0,01%",4.750,5.248.986,-,Facebook,Orgânico,Times
03 de mai. de 2025,15,10,"0,03%",3.639,1.439.567,-,Facebook,Orgânico,Times
10 de abr. de 2025,15,14,"0,01%",2.156,1.694.238,-,Facebook,Orgânico,Times
02 de abr. de 2025,15,10,"0,04%",3.291,821.664,-,Facebook,Orgânico,Times
31 de mar. de 2025,15,12,"0,03%",30.249,8.923.169,-,Facebook,Orgânico,Times
29 de mar. de 2025,15,12,"<0,01%",1.746,2.230.060,-,Facebook,Orgânico,Times
22 de mar. de 2025,15,14,"<0,01%",2.201,2.566.511,-,Facebook,Orgânico,Times
07 de mar. de 2025,15,12,"0,01%",1.803,1.504.186,-,Facebook,Orgânico,Times
23 de fev. de 2025,15,15,"0,03%",2.729,979.008,-,Facebook,Orgânico,Times
17 de fev. de 2025,15,13,"0,02%",1.076,703.245,-,Facebook,Orgânico,Times
17 de jan. de 2025,15,15,"0,01%",752,668.557,-,Facebook,Orgânico,Times
02 de jun. de 2025,14,13,"0,02%",1.204,701.212,-,Facebook,Orgânico,Times
17 de mai. de 2025,14,10,"<0,01%",325,1.061.354,-,Facebook,Orgânico,Times
07 de mai. de 2025,14,14,"<0,01%",679,881.967,-,Facebook,Orgânico,Times
01 de mai. de 2025,14,14,"<0,01%",334,1.368.482,-,Facebook,Orgânico,Times
09 de abr. de 2025,14,14,"0,06%",3.832,666.675,-,Facebook,Orgânico,Times
15 de mar. de 2025,14,8,"0,50%",23.690,478.099,-,Facebook,Orgânico,Times
12 de mar. de 2025,14,14,"0,03%",2.898,1.045.395,-,Facebook,Orgânico,Times
05 de mar. de 2025,14,13,"0,03%",6.136,1.795.982,-,Facebook,Orgânico,Times
04 de mar. de 2025,14,14,"0,02%",4.218,2.256.946,-,Facebook,Orgânico,Times
09 de fev. de 2025,14,7,"0,01%",352,337.889,-,Facebook,Orgânico,Times
06 de jan. de 2025,14,13,"<0,01%",411,856.259,-,Facebook,Orgânico,Times
5 dias ago,13,6,"0,01%",407,293.602,-,Facebook,Orgânico,Times
01 de jun. de 2025,13,12,"0,02%",3.256,1.321.049,-,Facebook,Orgânico,Times
02 de mai. de 2025,13,13,"0,02%",5.531,2.362.959,-,Facebook,Orgânico,Times
27 de abr. de 2025,13,8,"0,01%",554,483.338,-,Facebook,Orgânico,Times
22 de abr. de 2025,13,13,"0,01%",2.202,1.760.685,-,Facebook,Orgânico,Times
19 de mar. de 2025,13,13,"0,01%",3.008,2.749.686,-,Facebook,Orgânico,Times
02 de mar. de 2025,13,13,"0,03%",2.928,1.112.165,-,Facebook,Orgânico,Times
13 de fev. de 2025,13,13,"0,25%",11.878,470.018,-,Facebook,Orgânico,Times
03 de fev. de 2025,13,12,"0,02%",806,473.244,-,Facebook,Orgânico,Times
22 de jan. de 2025,13,13,"0,16%",6.572,401.166,-,Facebook,Orgânico,Times
16 de jan. de 2025,13,12,"<0,01%",404,740.039,-,Facebook,Orgânico,Times
07 de jan. de 2025,13,12,"0,04%",3.705,985.285,-,Facebook,Orgânico,Times
19 de jun. de 2025,12,12,"0,02%",2.369,1.527.059,-,Facebook,Orgânico,Times
26 de abr. de 2025,12,11,"<0,01%",1.533,1.768.645,-,Facebook,Orgânico,Times
28 de mar. de 2025,12,11,"<0,01%",750,865.779,-,Facebook,Orgânico,Times
11 de mar. de 2025,12,11,"0,02%",3.824,1.552.644,-,Facebook,Orgânico,Times
11 de fev. de 2025,12,12,"<0,01%",490,1.961.944,-,Facebook,Orgânico,Times
10 de fev. de 2025,12,11,"0,02%",1.668,806.390,-,Facebook,Orgânico,Times
27 de jan. de 2025,12,12,"0,02%",1.171,640.717,-,Facebook,Orgânico,Times
25 de jan. de 2025,12,10,"0,20%",6.038,302.578,-,Facebook,Orgânico,Times
21 de jan. de 2025,12,11,"<0,01%",284,437.987,-,Facebook,Orgânico,Times
18 de jan. de 2025,12,7,"<0,01%",193,572.199,-,Facebook,Orgânico,Times
03 de jan. de 2025,12,12,"0,01%",1.415,1.402.871,-,Facebook,Orgânico,Times
4 dias ago,11,9,"0,06%",5.479,910.446,-,Facebook,Orgânico,Times
18 de jun. de 2025,11,10,"0,15%",8.095,547.059,-,Facebook,Orgânico,Times
07 de jun. de 2025,11,11,"0,03%",4.071,1.529.006,-,Facebook,Orgânico,Times
16 de mai. de 2025,11,11,"0,03%",2.389,717.376,-,Facebook,Orgânico,Times
29 de abr. de 2025,11,9,"0,11%",8.362,759.792,-,Facebook,Orgânico,Times
23 de abr. de 2025,11,10,"0,09%",2.549,276.167,-,Facebook,Orgânico,Times
19 de abr. de 2025,11,9,"0,04%",1.981,483.930,-,Facebook,Orgânico,Times
13 de abr. de 2025,11,10,"0,08%",2.810,351.371,-,Facebook,Orgânico,Times
30 de mar. de 2025,11,11,"0,05%",3.389,627.387,-,Facebook,Orgânico,Times
23 de mar. de 2025,11,11,"0,05%",4.573,953.751,-,Facebook,Orgânico,Times
20 de mar. de 2025,11,9,"0,43%",16.555,387.714,-,Facebook,Orgânico,Times
10 de mar. de 2025,11,10,"0,04%",3.215,797.982,-,Facebook,Orgânico,Times
03 de mar. de 2025,11,11,"0,02%",2.260,1.122.096,-,Facebook,Orgânico,Times
31 de jan. de 2025,11,11,"0,01%",800,560.801,-,Facebook,Orgânico,Times
29 de jan. de 2025,11,11,"<0,01%",302,581.049,-,Facebook,Orgânico,Times
20 de jan. de 2025,11,9,"0,04%",4.033,910.412,-,Facebook,Orgânico,Times
11 de jan. de 2025,11,10,"0,04%",13.360,3.524.316,-,Facebook,Orgânico,Times
21 de jun. de 2025,10,9,"0,02%",3.713,1.521.463,-,Facebook,Orgânico,Times
24 de abr. de 2025,10,10,"0,04%",5.135,1.206.791,-,Facebook,Orgânico,Times
06 de abr. de 2025,10,6,"<0,01%",557,566.983,-,Facebook,Orgânico,Times
03 de abr. de 2025,10,10,"0,02%",1.553,663.326,-,Facebook,Orgânico,Times
25 de mar. de 2025,10,10,"0,02%",4.521,2.117.556,-,Facebook,Orgânico,Times
16 de fev. de 2025,10,8,"0,15%",13.329,899.739,-,Facebook,Orgânico,Times
02 de fev. de 2025,10,9,"0,02%",5.426,3.343.666,-,Facebook,Orgânico,Times
05 de jan. de 2025,10,10,"<0,01%",1.045,1.359.935,-,Facebook,Orgânico,Times
20 de abr. de 2025,9,8,"<0,01%",391,2.523.019,-,Facebook,Orgânico,Times
18 de abr. de 2025,9,9,"0,03%",5.561,1.839.495,-,Facebook,Orgânico,Times
16 de mar. de 2025,9,9,"0,02%",905,508.533,-,Facebook,Orgânico,Times
08 de mar. de 2025,9,8,"0,03%",3.509,1.148.741,-,Facebook,Orgânico,Times
30 de jan. de 2025,9,9,"0,01%",895,646.553,-,Facebook,Orgânico,Times
26 de jan. de 2025,9,7,"0,02%",1.812,1.121.511,-,Facebook,Orgânico,Times
04 de jan. de 2025,9,9,"<0,01%",627,1.885.279,-,Facebook,Orgânico,Times
01 de jan. de 2025,9,9,"<0,01%",678,798.425,-,Facebook,Orgânico,Times
23 de jun. de 2025,8,8,"0,06%",4.047,655.316,-,Facebook,Orgânico,Times
08 de jun. de 2025,8,7,"0,11%",13.934,1.290.002,-,Facebook,Orgânico,Times
31 de mai. de 2025,8,6,"0,05%",3.026,553.666,-,Facebook,Orgânico,Times
06 de mai. de 2025,8,8,"0,10%",6.610,675.218,-,Facebook,Orgânico,Times
05 de abr. de 2025,8,6,"0,02%",3.073,1.416.745,-,Facebook,Orgânico,Times
